dna_seq_sample_name,dir_dnaseq,dharma_id
138035188,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,164
138055633,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,165
138055302,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,166
138019159,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,167
138086448,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,169
138013592,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,170
138013705,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,171
138064317,/fh/fast/radich_j/CARDINALTargSeq/xfer.genome.wustl.edu/fastq,173
AML973,/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160829_ADV75-ADW8F/fastq,178
RO50070,/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160829_ADV75-ADW8F/fastq,179
RO50113;RO50113-BULK,/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160829_ADV75-ADW8F/fastq;/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160829_ANN9B-ANLD7-ANMA6/fastq,180
D01-1B,/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160829_ADV75-ADW8F/fastq,181
D03-1B,/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160830_ADWAR/fastq,182
ASPTP-3-bulk,/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160830_ADWAR/fastq,183
T11-1M,/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160830_ADWAR/fastq,184
T12-1M,/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160830_ADWAR/fastq,185
D02-1B,/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160830_ADWAR/fastq,188
D04-1M,/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160830_ADWAR/fastq,191
N2-1B-bulk,/fh/fast/radich_j/SR/ngs/illumina/apaguiri/160830_ADWAR/fastq,194
